hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,270,RC,1.7mm Cable W/Crimp 750mm Strl,both,,,,discounted_cash,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.7mm Cable W/Crimp 750mm Strl,both,,,,min,698.41564,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.7mm Cable W/Crimp 750mm Strl,both,,,,max,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203228,CDM,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,gross,247.9,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203228,CDM,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,discounted_cash,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203228,CDM,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,min,228.8117,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203228,CDM,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,max,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203228,LOCAL,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,gross,247.9,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203228,LOCAL,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,discounted_cash,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203228,LOCAL,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,min,228.8117,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203228,LOCAL,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,max,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,gross,247.9,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
